Issue Description,Assignees to the Issue,Link
Add CIFAR10 to the sandbox,,https://github.com/OpenMined/PySyft/issues/1872
Add MNIST to the sandbox,,https://github.com/OpenMined/PySyft/issues/1871
Add data to workers on spinup,,https://github.com/OpenMined/PySyft/issues/1838
Test hook.py should be modified to not use class structure,,https://github.com/OpenMined/PySyft/issues/1835
More descriptive error (or warning) when workers can't see each other?,,https://github.com/OpenMined/PySyft/issues/1760
Working Documentation,,https://github.com/OpenMined/PySyft/issues/1743
Get rid of relative imports,,https://github.com/OpenMined/PySyft/issues/1631
GREAT FIRST PROJECT: Make PySyft FAST!!!!,,https://github.com/OpenMined/PySyft/issues/1605
Travis Errors,,https://github.com/OpenMined/PySyft/issues/1604
Base Worker Command Statistics,,https://github.com/OpenMined/PySyft/issues/1602
Combine Differential Privacy Demos with Federated Learning with Secure Aggregation Demo,,https://github.com/OpenMined/PySyft/issues/1556
Refactor issue template,,https://github.com/OpenMined/PySyft/issues/1549
Get workers method,,https://github.com/OpenMined/PySyft/issues/1548
Documentation - Beat the Sphinx,,https://github.com/OpenMined/PySyft/issues/1539
Add Functionality to FixedPrecisionTensor,,https://github.com/OpenMined/PySyft/issues/1532
Rename MPCTensor -> SPDZTesnor,,https://github.com/OpenMined/PySyft/issues/1508
[mpc_tensor] Handle nested args in `split_to_pointer_commands`,,https://github.com/OpenMined/PySyft/issues/1480
Performance analysis of PySyft,,https://github.com/OpenMined/PySyft/issues/1479
Type annotations for pysyft,,https://github.com/OpenMined/PySyft/issues/1456
"Refactor: Special Documentation for ""How to Create a New Tensor Type""",,https://github.com/OpenMined/PySyft/issues/1448
Reactor: Make PySyft Beautiful Again (MPBA),,https://github.com/OpenMined/PySyft/issues/1447
Refactor: Docstrings -> Autodoc Upgrades ,,https://github.com/OpenMined/PySyft/issues/1445
Add Logo and Color Scheme to Documentation,,https://github.com/OpenMined/PySyft/issues/1418
Missing docstrings in TorchHook,,https://github.com/OpenMined/PySyft/issues/1412
Full Test Coverage for Local/Remote Torch Tensor/Variable Operations,,https://github.com/OpenMined/PySyft/issues/1385
Implement the inline Bernoulli function for IntTensor on the CPU,,https://github.com/OpenMined/PySyft/issues/1275
Implement the Bernoulli function for IntTensor on the CPU,,https://github.com/OpenMined/PySyft/issues/1274
Implement the inline Unsqueeze function for IntTensor on the CPU,,https://github.com/OpenMined/PySyft/issues/1271
Implement the Unsqueeze function for IntTensor on the CPU,,https://github.com/OpenMined/PySyft/issues/1270
Implement the inline Unfold function for IntTensor on the CPU,,https://github.com/OpenMined/PySyft/issues/1267
Implement the Unfold function for IntTensor on the CPU,,https://github.com/OpenMined/PySyft/issues/1266
Implement the inline Trunc function for IntTensor on the CPU,,https://github.com/OpenMined/PySyft/issues/1263
Implement the Trunc function for IntTensor on the CPU,,https://github.com/OpenMined/PySyft/issues/1262
Implement the inline Triu function for IntTensor on the CPU,,https://github.com/OpenMined/PySyft/issues/1259
Implement the Triu function for IntTensor on the CPU,,https://github.com/OpenMined/PySyft/issues/1258
Implement the inline Tril function for IntTensor on the CPU,,https://github.com/OpenMined/PySyft/issues/1255
Implement the Tril function for IntTensor on the CPU,,https://github.com/OpenMined/PySyft/issues/1254
Implement the inline Transpose function for IntTensor on the CPU,,https://github.com/OpenMined/PySyft/issues/1251
Implement the Transpose function for IntTensor on the CPU,,https://github.com/OpenMined/PySyft/issues/1250
Implement the inline Trace function for IntTensor on the CPU,,https://github.com/OpenMined/PySyft/issues/1247
Implement the Trace function for IntTensor on the CPU,,https://github.com/OpenMined/PySyft/issues/1246
Implement the inline Topk function for IntTensor on the CPU,,https://github.com/OpenMined/PySyft/issues/1243
Implement the Topk function for IntTensor on the CPU,,https://github.com/OpenMined/PySyft/issues/1242
Implement the inline Tolist function for IntTensor on the CPU,,https://github.com/OpenMined/PySyft/issues/1239
Implement the Tolist function for IntTensor on the CPU,,https://github.com/OpenMined/PySyft/issues/1238
Implement the inline Tanh function for IntTensor on the CPU,,https://github.com/OpenMined/PySyft/issues/1235
Implement the Tanh function for IntTensor on the CPU,,https://github.com/OpenMined/PySyft/issues/1234
Implement the inline Tan function for IntTensor on the CPU,,https://github.com/OpenMined/PySyft/issues/1231
Implement the Tan function for IntTensor on the CPU,,https://github.com/OpenMined/PySyft/issues/1230
Implement the inline Take function for IntTensor on the CPU,,https://github.com/OpenMined/PySyft/issues/1227
Implement the Take function for IntTensor on the CPU,,https://github.com/OpenMined/PySyft/issues/1226
Implement the inline T function for IntTensor on the CPU,,https://github.com/OpenMined/PySyft/issues/1223
Implement the T function for IntTensor on the CPU,,https://github.com/OpenMined/PySyft/issues/1222
