First Commit Hash (SHA),Commit Message,Author (Github Name),Link to Commit
45a47ab3e742d726921e627924cdf77b6cc9f209,"Implemented BaseTensor.{le,ge,lt} and inplace versions

- Implemented BaseTensor.{le, ge, lt} and their inplace versions.
- Updated Basetensor.gt() and BaseTensor.gt_() to reflect the new changes.
- Tests for all four inequalities.

Closes #49, closes #56, closes #59",baldassarreFe,https://api.github.com/repos/OpenMined/PySyft/git/commits/45a47ab3e742d726921e627924cdf77b6cc9f209
5dc0d0fe47d2b7e403cdd9d41920c34e26aa9e56,Implemented Diag Functionality for Base Tensor Type with tests,tusharsoni08,https://api.github.com/repos/OpenMined/PySyft/git/commits/5dc0d0fe47d2b7e403cdd9d41920c34e26aa9e56
0f96379d5a7851191267b27fd637c22fe5d8b7d9,Documentation; Bottom Half,CT83,https://api.github.com/repos/OpenMined/PySyft/git/commits/0f96379d5a7851191267b27fd637c22fe5d8b7d9
79c10b7d9cde9269a0b0a4efea28c955334f7c97,"Support for using Visual studio code IDE

added ignores for vscode specifics",AkashGutha,https://api.github.com/repos/OpenMined/PySyft/git/commits/79c10b7d9cde9269a0b0a4efea28c955334f7c97
bb3fa00840f5bc73e462ead50220334e55dae0c4,"Added nelement to TensorBase #74 (#269)

* Add nelement to TensorBase

Resolves: #74

* Replace tabs with spaces

* Change nelement test function name to snake_case",joewie,https://api.github.com/repos/OpenMined/PySyft/git/commits/bb3fa00840f5bc73e462ead50220334e55dae0c4
30c021d2020d55683e3feb1ea6f1569dd6e17200,Syft: Linear Classifier - Add minibatch gradient descent with Capsule support,meetvora,https://api.github.com/repos/OpenMined/PySyft/git/commits/30c021d2020d55683e3feb1ea6f1569dd6e17200
28ee3b4ade61bbbf0cce1c745a0b9fac310841e9,"Serialize Public key Secret key with pickle (#276)

* Serialize Pubkey seckey with pickle

* Serialize keys with pickle

* Code Styling

* Serialize Public Private Keys - JSON",piyush2896,https://api.github.com/repos/OpenMined/PySyft/git/commits/28ee3b4ade61bbbf0cce1c745a0b9fac310841e9
670d7c80ca8138fa38261b81affc793904dfc12c,"Adds default geometric functionality (#285)

* adds default geometric functionality

* fix inline doc

* inline doc style fix",nish21,https://api.github.com/repos/OpenMined/PySyft/git/commits/670d7c80ca8138fa38261b81affc793904dfc12c
608690b816bdf9aa618e8e2ccdefe6a51886e203,"Implement Default fmod Functionality for Base Tensor Type #46 (#280)

* add .DS_Store to .gitignore

* add index method and unittest

* adjust .gitignore to upstream/master

* add fmod and fmod_ methods to tensor.py

* add unittests to fmod and fmod_ methods

* alter .gitignore to fit pull request

* remove index method before pull upstream master

* remove unit test for index method before pull upstream master

* align with upstream/master/.gitignore

* add .DS_Store to .gitignore

* adjust .gitignore to upstream/master

* add PEP8 style pytest in Makefile

* add fmod and fmod_ methods to tensor.py

* add unittests to fmod and fmod_ methods

* alter .gitignore to fit pull request

* add test_tensor.py with changes

* add new line to .gitignore

* fix some flake8 style issues

* fix flake8 style issues

* fix flake8 style issue

* fixing another flake8 style issue

* fix another flake8 issue

* fix and move fmod method to math.py

* fix fmod_ method to call syft.math.fmod method for inline operation

* fix and move fmodTest to test_math.py

* remove fmodTest from test_tensor.py

* fix FLAKE8 issue with no newline at the end of test_math.py

* add fmod to syft/__init__.py

* edit doc convention of syft/math.py

* edit doc convention of syft/tensor.py",nahuakang,https://api.github.com/repos/OpenMined/PySyft/git/commits/608690b816bdf9aa618e8e2ccdefe6a51886e203
ae8d0625c5b34132aa48e098206376139ac3e7a8,add instructions to install test-requirements before running tests in README.md,divyanshj16,https://api.github.com/repos/OpenMined/PySyft/git/commits/ae8d0625c5b34132aa48e098206376139ac3e7a8
124fcceddeb719e431aa170f64d90dca7e04869b,"Add capsule dependency for running tests (#293)

While #270 is reviewed the readme should contain Capsule dependency as it is required for tests",sp4ke,https://api.github.com/repos/OpenMined/PySyft/git/commits/124fcceddeb719e431aa170f64d90dca7e04869b
65b9352e9e349c7f932f52904d6f913a09f9a025,Added Capsule module link in the notebook. (#301),karthiktsaliki,https://api.github.com/repos/OpenMined/PySyft/git/commits/65b9352e9e349c7f932f52904d6f913a09f9a025
d28ae12d3e8bb84523617d2890578b8e57ae282d,"Implementation of index methods in TensorBase #54 (#296)

* Implemented index() for Base Tensor #54

* index_add_() implemented and index() changes

* index_copy_() and index_fill_() implemented

* Unit tests have been implemented
* Fixed bugs in other index methods
* Gather all the index tests in the same class

* Index function supports now negative numbers and slices",samuxiii,https://api.github.com/repos/OpenMined/PySyft/git/commits/d28ae12d3e8bb84523617d2890578b8e57ae282d
0171924e3a33e388865b0c5a3a410eed6d50a59f,merge master,ibrahimsharaf,https://api.github.com/repos/OpenMined/PySyft/git/commits/0171924e3a33e388865b0c5a3a410eed6d50a59f
2ba12467c65a91e0f3c7162008be0153271f1262,capsule preinstalled in pysyft-dev image,nishanthprakash,https://api.github.com/repos/OpenMined/PySyft/git/commits/2ba12467c65a91e0f3c7162008be0153271f1262
3f56f26667040fead7032d0de7fda821789d26d5,"Feature/renorm  add method and tests (#284)

* feat(PySyft tensor): add renorm and renorm_ methods

issue #86

issue #86

* correct character deletion

* add params to inline docs

* add renorm to math

* add inline comment to renorm

* fix inline docs to renorm

* implement renorm

* implement renorm_ and fix inline doc

* add tests for math and tensor

* add renorm to __init__.py and __all__ in math.py

* correct style

* return self in renorm_

* remove trailing white space

* add new line at eof

* remove accidental G",AdamJChen,https://api.github.com/repos/OpenMined/PySyft/git/commits/3f56f26667040fead7032d0de7fda821789d26d5
5083ec93c38a4cbc529e1e4b99f86cc83bf14cff,"Implement Default numel Functionality for Base Tensor Type #78 (#300)

* Implement Default numel Functionality for Base Tensor Type #78

* pep8

* Remove redundant tests

Remove tests from DimTests

* Revert ""pep8""

This reverts commit 812391390456cfc31483d2b666496a96c1a5ebbc.

* pep8 - W293 blank line contains whitespace

* pep8 - W293 & E321

* pep8 - E231

* Requested changes

-Rewrite numel in math.py
-make the necessary additions that follow in init.py
-modified nelement for return numel from the nelement

* pep8 & test_math

* pep8 W291 & W292

* Update math.py

* fix style errors

* Update tensor.py",alberduris,https://api.github.com/repos/OpenMined/PySyft/git/commits/5083ec93c38a4cbc529e1e4b99f86cc83bf14cff
d9bda9943284e425f212cbd890e15d2705e946bc,Use shortcircuit logic to optimize function call,MarcoROG,https://api.github.com/repos/OpenMined/PySyft/git/commits/d9bda9943284e425f212cbd890e15d2705e946bc
cbb2f9d32b46fd7f6b434a2342fbad9ee0e02469,Implement Tensor unfold functionality on Base Tensor type #105 (#315),shravan97,https://api.github.com/repos/OpenMined/PySyft/git/commits/cbb2f9d32b46fd7f6b434a2342fbad9ee0e02469
8b761271b5b98500b046ff5ad01fee372b98a3e7,"Allow encrypt to take pubkey as a parameter

Allow encrypt to take pubkey as a parameter instead of always generating a new one",planetceres,https://api.github.com/repos/OpenMined/PySyft/git/commits/8b761271b5b98500b046ff5ad01fee372b98a3e7
320c26ae24d433b88d7a87f5b3cb346475704fad,"add PySyft setup guide for docker windows (#328)

* add setup guide for docker windows

* add setup guide for docker windows

* Delete Setup PySyft on docker Windows.md

* delete assets folder

* Update README.md

* Update README.md",mdalai,https://api.github.com/repos/OpenMined/PySyft/git/commits/320c26ae24d433b88d7a87f5b3cb346475704fad
c874da6ec6d564d26c96ed70baee3c1af7aa9b93,"updated class name from ""admmTests"" -> ""addmmTests"" in test_math.py (#338)",raul-jr3,https://api.github.com/repos/OpenMined/PySyft/git/commits/c874da6ec6d564d26c96ed70baee3c1af7aa9b93
04beeb3878a893fd81525b2aa8b36a2c6f579507,"Updated LinearClassifier (#337)

* Updated LinearClassifier

Added some checks to encrypt() and decrypt(), fixed notebooks to use the right capsule. Also added an abstract interface for future implementations.

* fixed indentation

* fixed more blank lines",cosmadrian,https://api.github.com/repos/OpenMined/PySyft/git/commits/04beeb3878a893fd81525b2aa8b36a2c6f579507
fc464d23b776c21746f845a588185845244aeeda,Implement Default multinomial Functionality for Base Tensor Type,borkjt9,https://api.github.com/repos/OpenMined/PySyft/git/commits/fc464d23b776c21746f845a588185845244aeeda
0cfcfbe73cd03b67249140f90ab7efb0ff75e34e,"Remove capsule dependency from notebooks

- Use `syft.he.keys.Paillier` instead of capsule to get the keys
- Addresses #384",sriranganathan,https://api.github.com/repos/OpenMined/PySyft/git/commits/0cfcfbe73cd03b67249140f90ab7efb0ff75e34e
7222ce4e3f5ce54ab79f3039be6723a312600a32,"Dense to sparse matrix (#388)

* Remove capsule dependency from notebooks

- Use `syft.he.keys.Paillier` instead of capsule to get the keys
- Addresses #384

* Convert dense matrix to sparse (#274)
* Implement function that converts dense matrix to sparse

* Add sparse function to tensor.py

* Convert dense matrix to sparse (#274)
* Implement function that converts dense matrix to sparse

* Convert dense to sparse matrix - Issue 274

* Add skeleton definition for conversion of dense to sparse matrix

* Convert dense matrix to sparse (#274)
* fix test cases, but still getting errors when trying to assert.equal two numpy.ndarrays

* Convert dense matrix to sparse (#274)
* fix tests by converting output of sparse function to string
  This was necessary because assert.equal returning errors when trying to compare two numpy arrays

* Convert dense matrix to sparse (#274)

* rebase branch onto newest commit on master
* fix comments, naming conventions and placement of definitions in code according to review comments

* Dense to sparse matrix conversion (#274)

* Fix styling errors in tenosr.py, test_tensor.py and test_math.py according to review comments

* rolled back to using phe's floating point, until we have a better solution.

* Add cross functionality for Base Tensor Type (#392)

* Add cross functionality for Base Tensor type

- Implement cross functionality using numpy.cross
- Create tests for corresponding code
- Fixes #382

* Move encryption check logic to syft.math.cross

- Add cross to the init.py and __all__
- move encryption and tensor check to syft.math.cross from syft.tensor.cross",ivuckovic,https://api.github.com/repos/OpenMined/PySyft/git/commits/7222ce4e3f5ce54ab79f3039be6723a312600a32
6196c98e993ab75a32dfa58d9a8431fb5f402944,Add files via upload,gonesbuyo,https://api.github.com/repos/OpenMined/PySyft/git/commits/6196c98e993ab75a32dfa58d9a8431fb5f402944
c0f9e0df0d64f366838172e6b92ed3f6b3c9f1f9,Added neg function,diegoalejogm,https://api.github.com/repos/OpenMined/PySyft/git/commits/c0f9e0df0d64f366838172e6b92ed3f6b3c9f1f9
af354d4642a9148d366788423aa445b22fe3c141,"Update README.md

How to run tests on windows",Floev,https://api.github.com/repos/OpenMined/PySyft/git/commits/af354d4642a9148d366788423aa445b22fe3c141
d712ae4104d11f001efafb32bb0f00575dd6bb1b,add FloatTensor ceil function,abe732,https://api.github.com/repos/OpenMined/PySyft/git/commits/d712ae4104d11f001efafb32bb0f00575dd6bb1b
5a87fa34109304d494ebf1d86692c5ddbcbbf7c0,added method to call in-place addition,keithfz,https://api.github.com/repos/OpenMined/PySyft/git/commits/5a87fa34109304d494ebf1d86692c5ddbcbbf7c0
dbb74aba1f9b57457cbb6aca28be8b9622372046,"added `zero_()` to `FloatTensor`

Zeros a tensor on the remote unity server
closes https://github.com/OpenMined/PySyft/issues/630",bendecoste,https://api.github.com/repos/OpenMined/PySyft/git/commits/dbb74aba1f9b57457cbb6aca28be8b9622372046
46cc97bdfa8e50682b10cdb8f6cc1a8270d1e27f,Added .idea folder to .gitignore.,clamytoe,https://api.github.com/repos/OpenMined/PySyft/git/commits/46cc97bdfa8e50682b10cdb8f6cc1a8270d1e27f
db7f6a52ec71f7292a2fdb0be0537f5ab720633c,adds is_contiguous function to PySyft Float Tensor class,anishpdalal,https://api.github.com/repos/OpenMined/PySyft/git/commits/db7f6a52ec71f7292a2fdb0be0537f5ab720633c
fed98b92b6ae0e8790a6dfbec52fa1aff59d4592,added pow operator call,sebasibarguen,https://api.github.com/repos/OpenMined/PySyft/git/commits/fed98b92b6ae0e8790a6dfbec52fa1aff59d4592
cc5d665b27e1cb629c34e45eed72de2b69e11517,Added sign function as per #580.,moodlep,https://api.github.com/repos/OpenMined/PySyft/git/commits/cc5d665b27e1cb629c34e45eed72de2b69e11517
62771b54b90feea6a8c69a62eae7a329a3857674,feature|add size(),bosr,https://api.github.com/repos/OpenMined/PySyft/git/commits/62771b54b90feea6a8c69a62eae7a329a3857674
5a8c7a9e24065c9c77bb4bbc9fd3b1f9dc3fe92d,feat: add exp() to syft.py,yanndupis,https://api.github.com/repos/OpenMined/PySyft/git/commits/5a8c7a9e24065c9c77bb4bbc9fd3b1f9dc3fe92d
1195464eace1d83171d6fe981c5366a1a06bd415,"Tensor.Reduce min, max, sum, prod, mean",Mike96Angelo,https://api.github.com/repos/OpenMined/PySyft/git/commits/1195464eace1d83171d6fe981c5366a1a06bd415
dd49d4a270cfe1a88915900224252c3512eacbdd,"Implementing view_as

  * issue #629",moisesvw,https://api.github.com/repos/OpenMined/PySyft/git/commits/dd49d4a270cfe1a88915900224252c3512eacbdd
c9ec889d59042a5eb567ae5487c1f1a5acdd071c,"Corrected filename installation for anaconda users

Correct filename for setting up via Anaconda is
`install_for_anaconda.sh`",indradenbakker,https://api.github.com/repos/OpenMined/PySyft/git/commits/c9ec889d59042a5eb567ae5487c1f1a5acdd071c
964bc39769ed1e5aa68be0cc16cdb7dba6e460ad,Merge branch 'master' into function-softmax,emregoynugur,https://api.github.com/repos/OpenMined/PySyft/git/commits/964bc39769ed1e5aa68be0cc16cdb7dba6e460ad
884e5bf71a83ba1e153d6513ed4d4e4c906914f3,Add cumprod function to syft,daviddemeij,https://api.github.com/repos/OpenMined/PySyft/git/commits/884e5bf71a83ba1e153d6513ed4d4e4c906914f3
e2a2e190ce893ff4c5c468d860796a0a081ef450,"[ci skip] Add CodeTriage badge

[CodeTriage](https://www.codetriage.com/) is an app I have maintained
for the past 4-5 years with the goal of getting people involved in
Open Source projects like this one. The app sends subscribers a random
open issue for them to help ""triage"". For some languages you can also
suggested areas to add documentation.

The initial approach was inspired by seeing the work of the small
core team spending countless hours asking ""what version was
this in"" and ""can you give us an example app"". The idea is to
outsource these small interactions to a huge team of volunteers
and let the core team focus on their work.

I want to add a badge to the README of this project. The idea is to
provide an easy link for people to get started contributing to this
project. A badge indicates the number of people currently subscribed
to help the repo. The color is based off of open issues in the project.

Here are some examples of other projects that have a badge in their
README:

- https://github.com/crystal-lang/crystal
- https://github.com/rails/rails
- https://github.com/codetriage/codetriage

Thanks for building open source software, I would love to help you find some helpers.",schneems,https://api.github.com/repos/OpenMined/PySyft/git/commits/e2a2e190ce893ff4c5c468d860796a0a081ef450
d5411825cf3490d520b5b9f5387f994cd25cff6e,Adding momentum and lr decay,kabirkhan,https://api.github.com/repos/OpenMined/PySyft/git/commits/d5411825cf3490d520b5b9f5387f994cd25cff6e
21cc769099188ac879dbd4e8cf144d7be7955ba1,Added docstrings,Riksi,https://api.github.com/repos/OpenMined/PySyft/git/commits/21cc769099188ac879dbd4e8cf144d7be7955ba1
8bc00b0caa913dc831e6f50eaa93fae4bd8ea7ef,bugfix: do not delete results for inline aritmetic operations,koenvanderveen,https://api.github.com/repos/OpenMined/PySyft/git/commits/8bc00b0caa913dc831e6f50eaa93fae4bd8ea7ef
9dcfd2bf852037909cb31a143703856068a44edf,__add__ method for IntTensor,gavinuhma,https://api.github.com/repos/OpenMined/PySyft/git/commits/9dcfd2bf852037909cb31a143703856068a44edf
4b102ad1836bf5750a4872db4ea170632b52b7a9,Fix requirements.txt: zmq -> pyzmq,kynan,https://api.github.com/repos/OpenMined/PySyft/git/commits/4b102ad1836bf5750a4872db4ea170632b52b7a9
5114c1a9e3f8390b23af8b5956a14ae9ed587d34,add abs function to IntTensor,hackjoy,https://api.github.com/repos/OpenMined/PySyft/git/commits/5114c1a9e3f8390b23af8b5956a14ae9ed587d34
