Issue Description,Assignees to the Issue,Link
Cleanup: there's some duplicate code in the linkifier,,https://github.com/sindresorhus/refined-github/issues/2263
`edit-readme` feature is broken,,https://github.com/sindresorhus/refined-github/issues/2262
"""View file"" in PRs should point to the branch, not the commit",,https://github.com/sindresorhus/refined-github/issues/2260
Extend `format-discussion-titles` to issue sticky header #321,,https://github.com/sindresorhus/refined-github/issues/2255
Colors for `highest-rated-comment` decorations ,,https://github.com/sindresorhus/refined-github/issues/2237
Security adviosry pull request button is hidden,,https://github.com/sindresorhus/refined-github/issues/2227
Restore `edit-readme-button` on all repos,,https://github.com/sindresorhus/refined-github/issues/2225
Add color wheel for picking label colors,,https://github.com/sindresorhus/refined-github/issues/2224
Update `releases-tab` to use API to fetch releases count,,https://github.com/sindresorhus/refined-github/issues/2221
The footer is incredibly hard to read in Explore page,,https://github.com/sindresorhus/refined-github/issues/2212
Improve file path and name visibility in PR Files changed section,,https://github.com/sindresorhus/refined-github/issues/2206
Bug on pull request files tab,,https://github.com/sindresorhus/refined-github/issues/2202
`comments-time-machine-links` errors on review page with pending reviews,,https://github.com/sindresorhus/refined-github/issues/2187
"""View blame prior to this change"" link should include the current line",,https://github.com/sindresorhus/refined-github/issues/2175
Avoid adding real names when the user is using a real name,,https://github.com/sindresorhus/refined-github/issues/2165
Linkify users in edit history popup,,https://github.com/sindresorhus/refined-github/issues/2161
Layout Jumping During Fetching of Latest Commit,,https://github.com/sindresorhus/refined-github/issues/2160
Restore `upload-button` feature,,https://github.com/sindresorhus/refined-github/issues/2155
`Shift+O` shouldn't work when writing inside an editable element,,https://github.com/sindresorhus/refined-github/issues/2152
Increase contrast of favicon in dark mode,,https://github.com/sindresorhus/refined-github/issues/2130
Releases counter is missing,,https://github.com/sindresorhus/refined-github/issues/2077
List of repository tabs is too long,,https://github.com/sindresorhus/refined-github/issues/2072
Unread notifications from GHE appear on Github and vice versa,,https://github.com/sindresorhus/refined-github/issues/2065
`remove-checks-tab` feature broken,,https://github.com/sindresorhus/refined-github/issues/2050
Master branch links are broken for branches with a `/` in the branch name,,https://github.com/sindresorhus/refined-github/issues/2049
Bug with pull request helper and Github Entreprise,,https://github.com/sindresorhus/refined-github/issues/2044
Feature `hide-empty-meta` is broken,,https://github.com/sindresorhus/refined-github/issues/2037
Shortcut to format selected text as code,,https://github.com/sindresorhus/refined-github/issues/2032
`focus-confirmation-buttons` broken,,https://github.com/sindresorhus/refined-github/issues/2031
Drop `upload-button` feature,,https://github.com/sindresorhus/refined-github/issues/2014
`raw-file-link` broken in PRs due to new dropdown,,https://github.com/sindresorhus/refined-github/issues/2006
`batch-open-issues` isn't working unless you select issues,,https://github.com/sindresorhus/refined-github/issues/2004
Drop `bypass-checks` feature,,https://github.com/sindresorhus/refined-github/issues/2003
Drop feature `mark-merge-commits-in-list`,,https://github.com/sindresorhus/refined-github/issues/1988
Update feature `linkify-branch-refs`,,https://github.com/sindresorhus/refined-github/issues/1985
"In file History pages, add links to the file itself",,https://github.com/sindresorhus/refined-github/issues/1979
`show-names` feature  broken,,https://github.com/sindresorhus/refined-github/issues/1978
