Issue Description,Assignees to the Issue,Link
XML comments for DbContext.Attach unclear,,https://github.com/dotnet/efcore/issues/14037
"Microsoft.Data.Sqlite: Make GetBytes, GetChars, and GetTextReader more efficient",,https://github.com/dotnet/efcore/issues/13987
Migrations XMLDOC,,https://github.com/dotnet/efcore/issues/13955
Translation error using negative ,,https://github.com/dotnet/efcore/issues/13919
The --context-dir parameter should respect the namespace conventions,,https://github.com/dotnet/efcore/issues/13904
Dynamically constructed Where truncates DateTimeOffset values to 3 decimal places,,https://github.com/dotnet/efcore/issues/13897
Microsoft.Data.Sqlite: SQLite provider seems to ignore |DataDirectory| ,,https://github.com/dotnet/efcore/issues/13840
Microsoft.Data.Sqlite: Authorization Callbacks,,https://github.com/dotnet/efcore/issues/13835
Microsoft.Data.Sqlite: BackupDatabase() should yield,,https://github.com/dotnet/efcore/issues/13834
"Microsoft.Data.Sqlite: Feature request: tracing, debugging",,https://github.com/dotnet/efcore/issues/13832
Microsoft.Data.Sqlite: Adding support for providing an encryption key in SqliteConnectionString class,,https://github.com/dotnet/efcore/issues/13828
Microsoft.Data.Sqlite: Incremental blob I/O,,https://github.com/dotnet/efcore/issues/13824
Sqlite Spatial RevEng: Column SRID and Dimension not configured,,https://github.com/dotnet/efcore/issues/13765
Implement DatePart nanosecond,,https://github.com/dotnet/efcore/issues/13481
Sqlite Migrations: Support RENAME COLUMN,,https://github.com/dotnet/efcore/issues/13341
Migration file with small values data seed doesn't build,,https://github.com/dotnet/efcore/issues/13089
SqlServer Query: double.NaN (or float) constant produces invalid SQL,,https://github.com/dotnet/efcore/issues/12998
Migration file name date part is generated based on system region settings,,https://github.com/dotnet/efcore/issues/12978
{SQLCE] Specification tests fail due to SQLCE limitations ,,https://github.com/dotnet/efcore/issues/12904
Primary key name not taken into account when scaffolding,,https://github.com/dotnet/efcore/issues/12821
Missing ExpressionType.Default in ExpressionComparer.Compare,,https://github.com/dotnet/efcore/issues/12771
Generating invalid SQL for RenameTable for 2.1.0-preview1 version,,https://github.com/dotnet/efcore/issues/12559
Additional ExecutionStrategy extension point: OnOperationRetrying(Async),,https://github.com/dotnet/efcore/issues/12536
Ternary operation being evaluated when it should not,,https://github.com/dotnet/efcore/issues/12521
Format HasData in snapshot to multiple lines,,https://github.com/dotnet/efcore/issues/12367
Add partial methods to the scaffolded DbContext code,,https://github.com/dotnet/efcore/issues/12245
SqlServer: Cannot use a clustered index without making PK non clustered explicitly,,https://github.com/dotnet/efcore/issues/12193
