First Commit Hash (SHA),Commit Message,Author (Github Name),Link to Commit
5268d609fafc142886700bd4b0d8bcb4f465a801,"Fix for NullReferenceException when ItemSource has item removed and a… (#258)

* fix for NullReferenceException when ItemSource has item removed and another inserted on iOS

* Update ViewCellRenderer.cs

Fix spacing issue",praga,https://api.github.com/repos/xamarin/Xamarin.Forms/git/commits/5268d609fafc142886700bd4b0d8bcb4f465a801
d1a8477233b28e6a20c6f5d4a75128ec2a05e6dc,Fixes issue when setting NavigationPage.SetHasBackButton after page has navigated (Android/AppCompat) (#256),stefandevo,https://api.github.com/repos/xamarin/Xamarin.Forms/git/commits/d1a8477233b28e6a20c6f5d4a75128ec2a05e6dc
e36816810fb0c29fd5607e9cbb2102d64c46b23f,"[Android] Null reference exception fix (#252)

* Added null checks

* Replaced spaces with tabs",tpetrina,https://api.github.com/repos/xamarin/Xamarin.Forms/git/commits/e36816810fb0c29fd5607e9cbb2102d64c46b23f
378ecc2a1a4ab95a7a9be17c9d907338894307da,"Android Custom Font support (#236)

* Implemented basic Support for Android Custom fonts

* Fixed Tabs

* Removed Private

* Changed behaviour to use UWP FontFamily style names

* Fixed Bug",royvou,https://api.github.com/repos/xamarin/Xamarin.Forms/git/commits/378ecc2a1a4ab95a7a9be17c9d907338894307da
28d9e8aabc361efccc19d66d8361559d19f32698,Add workaround for bugzilla 37792 (#181),Costo,https://api.github.com/repos/xamarin/Xamarin.Forms/git/commits/28d9e8aabc361efccc19d66d8361559d19f32698
08e282350cb3f1c2345125682f14934111af2f9c,[Android] Color.Accent is hardcoded (#270),MichaelRumpler,https://api.github.com/repos/xamarin/Xamarin.Forms/git/commits/08e282350cb3f1c2345125682f14934111af2f9c
bfeffa7115e6ea25e4f7deb7060f9cace27d10a8,"[Android] By using the SetSingleLine(true), the developers are no (#234)

longer able to use the SetMaxLines() in their own Custom Renderers
later on. So we force a single line by using the SetMaxLines(1) in the
base LabelRenderer and SetSingleLine(false)",Depechie,https://api.github.com/repos/xamarin/Xamarin.Forms/git/commits/bfeffa7115e6ea25e4f7deb7060f9cace27d10a8
43e90a38840600a2556be38cc331de4a0d948834,"Add the key in the message on throwing a KeyNotFoundException (#282)

* Add the key in the message on throwing a KeyNotFoundException for trying to access an invalid key in the ResourceDictionary. This helps a lot in tracking down what resource is actually missing.

* Fix test build, use C# 6 string interpolation",rogihee,https://api.github.com/repos/xamarin/Xamarin.Forms/git/commits/43e90a38840600a2556be38cc331de4a0d948834
ba29e59d20f4ae4b910b8576bc59af814ca4e151,"Add Orange color to Color (#290)

* Add Orange color to Color",rookiejava,https://api.github.com/repos/xamarin/Xamarin.Forms/git/commits/ba29e59d20f4ae4b910b8576bc59af814ca4e151
966683a807f68f302e8f121279387109f2a4a73b,Invalidate measure of Label when FormattedText changes (#303),akihikodaki,https://api.github.com/repos/xamarin/Xamarin.Forms/git/commits/966683a807f68f302e8f121279387109f2a4a73b
