First Commit Hash (SHA),Commit Message,Author (Github Name),Link to Commit
0ed88412f0dbfa3168189069679b9432d1c7cf15,Make references to Issues into links.,tvaught,https://api.github.com/repos/pandas-dev/pandas/git/commits/0ed88412f0dbfa3168189069679b9432d1c7cf15
15decd8839ed0e75e0b6abf0961dd7c08c2ce008,Update pandas/core/panel.py,joshuaar,https://api.github.com/repos/pandas-dev/pandas/git/commits/15decd8839ed0e75e0b6abf0961dd7c08c2ce008
8ffdef91ed77c03cf8235afa80e7da5337c82de9,Add sort_columns parameter to plot to allow unsorted plots,danbirken,https://api.github.com/repos/pandas-dev/pandas/git/commits/8ffdef91ed77c03cf8235afa80e7da5337c82de9
71b1d44afa83ad6a98727b8860026f60fde1a9c0,Added simple editing feature,claudiobertoldi,https://api.github.com/repos/pandas-dev/pandas/git/commits/71b1d44afa83ad6a98727b8860026f60fde1a9c0
47e6b5c78b4e4c58f5325d4ed980cb8f2ba44b7f,"Added basic support for fixed-width fields, as per R's read_fwf.",blais,https://api.github.com/repos/pandas-dev/pandas/git/commits/47e6b5c78b4e4c58f5325d4ed980cb8f2ba44b7f
cf57f8809a3f728191738b580e2629d296ffb293,ENH: add percentile_width to describe method in series and dataframe,aflaxman,https://api.github.com/repos/pandas-dev/pandas/git/commits/cf57f8809a3f728191738b580e2629d296ffb293
152d5cc6b6e81dfbf044e40fd6bcbfddade13680,BUG: fix typo,andreas-h,https://api.github.com/repos/pandas-dev/pandas/git/commits/152d5cc6b6e81dfbf044e40fd6bcbfddade13680
1ed76de715019114f2b2ea68a054d3b4859264fe,BUG: Don't mutate DataFrame.from_records columns,kisielk,https://api.github.com/repos/pandas-dev/pandas/git/commits/1ed76de715019114f2b2ea68a054d3b4859264fe
64353395f0975d5d5e8c40bde7ea6f25219442cc,notes regarding how to install rpy2.,lgautier,https://api.github.com/repos/pandas-dev/pandas/git/commits/64353395f0975d5d5e8c40bde7ea6f25219442cc
eaa28c9ae54043bb5bf87931e0f9353b8731d45a,Adding try/expect for openpyxl. Added test for xlsx and test.xlsx file saved from test.xls. Beautified ugly break of DRY principle in ExcelFile.parse,michaelaye,https://api.github.com/repos/pandas-dev/pandas/git/commits/eaa28c9ae54043bb5bf87931e0f9353b8731d45a
56b8d8555ea94cace4491c7083e7d3ef30588568,add scatter plot matrix method,jwkvam,https://api.github.com/repos/pandas-dev/pandas/git/commits/56b8d8555ea94cace4491c7083e7d3ef30588568
4c9845f007ef5e1432809847db11ebacdeadb29c,fixing the error in io/sql.py,pengyu,https://api.github.com/repos/pandas-dev/pandas/git/commits/4c9845f007ef5e1432809847db11ebacdeadb29c
09736e54cad2a0fba130383fbf61762bf1bb1f70,BUG: work around missing NPY_FR_B in numpy 1.7,stefanv,https://api.github.com/repos/pandas-dev/pandas/git/commits/09736e54cad2a0fba130383fbf61762bf1bb1f70
47c052ae97c8a845eb5390e1f8cbbbc62fc65f4a,"Remove dependencies on details of experimental numpy datetime64 ABI

Pandas was using some of the enums and structures exposed by its headers.
By creating its own local copies of these, it is possible to allow the
numpy ABI to be improved while in its experimental state.",mwiebe,https://api.github.com/repos/pandas-dev/pandas/git/commits/47c052ae97c8a845eb5390e1f8cbbbc62fc65f4a
330d104d57ad84639e0996bc4be607acb4bfc76a,treat XLRD.XL_CELL_ERROR as NaN,ruidc,https://api.github.com/repos/pandas-dev/pandas/git/commits/330d104d57ad84639e0996bc4be607acb4bfc76a
a406a4a1be3e14eb00b1e3792b5d7e340ac0aae0,ENH: treat complex number in maybe_convert_objects,tkf,https://api.github.com/repos/pandas-dev/pandas/git/commits/a406a4a1be3e14eb00b1e3792b5d7e340ac0aae0
165249a347372aa749eaa2010e41366ab9f4c0f2,"Removed erroneous reference to iterating over a Series, which iterates over values and not keys",invisibleroads,https://api.github.com/repos/pandas-dev/pandas/git/commits/165249a347372aa749eaa2010e41366ab9f4c0f2
3d5990f3ced466c583648f2e28f50dccb6e90f6a,Changes to plotting scatter matrix diagonals,orbitfold,https://api.github.com/repos/pandas-dev/pandas/git/commits/3d5990f3ced466c583648f2e28f50dccb6e90f6a
73763af6ed36bb59bcf79149e2520789ba1b8f94,ENH: Add JSON export option for DataFrame take 2,Komnomnomnom,https://api.github.com/repos/pandas-dev/pandas/git/commits/73763af6ed36bb59bcf79149e2520789ba1b8f94
3cdf5d778b48070a1f31a68250f112f56c2bac81,replace statsmodels by pandas,timmie,https://api.github.com/repos/pandas-dev/pandas/git/commits/3cdf5d778b48070a1f31a68250f112f56c2bac81
