Issue Description,Assignees to the Issue,Link
DOC: Fix SA04 errors in docstrings,,https://github.com/pandas-dev/pandas/issues/28792
DOC: wrong formatting of the set_option docs,,https://github.com/pandas-dev/pandas/issues/28780
Add Note About Referencing GH Issue Number to Test in Contrib Guide,,https://github.com/pandas-dev/pandas/issues/28703
minor inconsistency in Categorical.remove_categories error message,,https://github.com/pandas-dev/pandas/issues/28669
"Odd error message, concerning numpy using an alias versus numpy package name",,https://github.com/pandas-dev/pandas/issues/28665
Error when adding 'm' to a Series of strings,,https://github.com/pandas-dev/pandas/issues/28658
Create helper function in pandas/tests/io/json/test_pandas.py,,https://github.com/pandas-dev/pandas/issues/28555
Deprecate using `xlrd` engine in favor of openpyxl,,https://github.com/pandas-dev/pandas/issues/28547
Better Message for xlrd Dependencies,,https://github.com/pandas-dev/pandas/issues/28546
DEPR: Deprecate numpy argument in read_json,,https://github.com/pandas-dev/pandas/issues/28512
Add base test for ExtensionArray.astype and copy,,https://github.com/pandas-dev/pandas/issues/28488
DataFrame.to_html should validate that formatters has the correct length,,https://github.com/pandas-dev/pandas/issues/28469
Can't use a lambda function in named aggregation,,https://github.com/pandas-dev/pandas/issues/28467
Series.append raises TypeError with tuple of Series,,https://github.com/pandas-dev/pandas/issues/28410
Update cpython imports in Cython Code,,https://github.com/pandas-dev/pandas/issues/28382
"tm.makeObjectSeries returns a Series with dtype=""datetime64[ns]""",,https://github.com/pandas-dev/pandas/issues/28378
"Update documentation on pd.read_excel, to reflect the fact that support for OpenDocument files is available",,https://github.com/pandas-dev/pandas/issues/28231
DOC: Fix formatting errors in docstrings,,https://github.com/pandas-dev/pandas/issues/27977
Fix PR02 issues in docstrings,,https://github.com/pandas-dev/pandas/issues/27976
Functions allowed in DataFrameGroupby.transform are not all tested,,https://github.com/pandas-dev/pandas/issues/27905
DOC: See also for DataFrame.iterrows() should say Dataframe.x() instead of just .x(),,https://github.com/pandas-dev/pandas/issues/27862
"DOC: Standardize use of ""Iterate"" and ""Iterator"" in the documentation for DataFrame and Series iterators",,https://github.com/pandas-dev/pandas/issues/27861
DOC: clarify that read_parquet accepts a directory path,,https://github.com/pandas-dev/pandas/issues/27820
DOC: Series.str.slice() should show that negative values for start are allowed,,https://github.com/pandas-dev/pandas/issues/27802
DOC: add print statement in to_latex example,,https://github.com/pandas-dev/pandas/issues/27789
Error reading parquet from s3 with s3fs >= 0.3.0,,https://github.com/pandas-dev/pandas/issues/27756
DOC: instructions for installing C Compiler are missing,,https://github.com/pandas-dev/pandas/issues/27707
Move json_normalize to pd namespace,,https://github.com/pandas-dev/pandas/issues/27586
CLN: centrailize _check_percentile,,https://github.com/pandas-dev/pandas/issues/27559
DOC: Unable to import pandas on python 3.5.2,,https://github.com/pandas-dev/pandas/issues/27558
`OptionError` raised by top-level function `pandas.set_option` is private,,https://github.com/pandas-dev/pandas/issues/27553
ASV Benchmark for read_excel,,https://github.com/pandas-dev/pandas/issues/27485
pd.isnull() raises AttributeError on Pandas type objects,,https://github.com/pandas-dev/pandas/issues/27482
BUG: Missing documentation for read_spss(),,https://github.com/pandas-dev/pandas/issues/27476
`Dataframe.sample()` isn't validating `frac`,,https://github.com/pandas-dev/pandas/issues/27451
Using a `CategoricalIndex` with interval categories as column index breaks operations on a `DataFrame`,,https://github.com/pandas-dev/pandas/issues/27415
"DEPR: .take(..., is_copy=True); rename is_copy -> copy",,https://github.com/pandas-dev/pandas/issues/27357
Ensure isinstance checks use ABC classes where available,,https://github.com/pandas-dev/pandas/issues/27353
PERF: benchmarks are hitting .ix & other warnings,,https://github.com/pandas-dev/pandas/issues/27217
"Adding offset to Timestamp discards freq information when freq=""M"" or ""W""",,https://github.com/pandas-dev/pandas/issues/27182
CI: Format isort output to be detected as Azure pipelines errors,,https://github.com/pandas-dev/pandas/issues/27179
DOC: Parameters name and fastpath of Series are not documented,,https://github.com/pandas-dev/pandas/issues/27178
CLN: Collapse private ._take implementation into the public take method,,https://github.com/pandas-dev/pandas/issues/27174
Make pandas.to_parquet handles partition columns better,,https://github.com/pandas-dev/pandas/issues/27117
TST: Split test_offsets.py,,https://github.com/pandas-dev/pandas/issues/27085
API: .equals for Extension Arrays,,https://github.com/pandas-dev/pandas/issues/27081
Improve to_excel Append Documentation,,https://github.com/pandas-dev/pandas/issues/27051
fillna not throwing error when limit is not positive,,https://github.com/pandas-dev/pandas/issues/27042
DOC: Fix docstring quotes in pandas.tseries,,https://github.com/pandas-dev/pandas/issues/26982
DOC: Do not mention private classes in the documentation,,https://github.com/pandas-dev/pandas/issues/26981
Length information in error message of sanitize_index,,https://github.com/pandas-dev/pandas/issues/26967
DOC: Validate consistency of title capitalization,,https://github.com/pandas-dev/pandas/issues/26941
Issue with parsing PeriodDtype columns in read_csv(),,https://github.com/pandas-dev/pandas/issues/26934
Tabular numbers should be used on tables,,https://github.com/pandas-dev/pandas/issues/26917
CI: Improve codecov reporting,,https://github.com/pandas-dev/pandas/issues/26896
possible error in documentation,,https://github.com/pandas-dev/pandas/issues/26865
DOC: Make section title capitalization consistent,,https://github.com/pandas-dev/pandas/issues/26830
DOC: MultiIndex from levels and codes example fails,,https://github.com/pandas-dev/pandas/issues/26789
"DOC: Fix doc warning ""Code input with no code""",,https://github.com/pandas-dev/pandas/issues/26788
Add more pytest idiom to io.excel testing,,https://github.com/pandas-dev/pandas/issues/26784
PLOT: Fix imports of plotting,,https://github.com/pandas-dev/pandas/issues/26748
Recommended way to check for sparse data (DataFrame or Series),,https://github.com/pandas-dev/pandas/issues/26706
Deprecate Series.ftype / DataFrame.ftypes,,https://github.com/pandas-dev/pandas/issues/26705
CI - Azure: print skipped tests,,https://github.com/pandas-dev/pandas/issues/26695
Improve docs for pandas_version in Dataframe to_json(orient='table'),,https://github.com/pandas-dev/pandas/issues/26637
read_excel and ExcelFile engine conflict,,https://github.com/pandas-dev/pandas/issues/26566
Remove gtk imports from codebase,,https://github.com/pandas-dev/pandas/issues/26563
DEPR: deprecate Series/DataFrame.to_dense/to_sparse,,https://github.com/pandas-dev/pandas/issues/26557
ERR: give better error message when providing wrong sparse matrix type in from_coo,,https://github.com/pandas-dev/pandas/issues/26554
MAINT: port numpy#13188 for np_datetime simplification,,https://github.com/pandas-dev/pandas/issues/26500
pd.DataFrame.dot does not work when column index is set,,https://github.com/pandas-dev/pandas/issues/26480
`groupby` in combination with `rolling` provides unintuitve errors,,https://github.com/pandas-dev/pandas/issues/26462
Deprecate py.path support,,https://github.com/pandas-dev/pandas/issues/26450
BUG: to_numeric does not validate the errors keyword,,https://github.com/pandas-dev/pandas/issues/26394
json_normalize should raise when record_path doesn't point to an array,,https://github.com/pandas-dev/pandas/issues/26284
Links on resample documentation page are broken,,https://github.com/pandas-dev/pandas/issues/26275
pandas._libs.parsers.TextReader('中文文件名-chinese-in-filename.csv')  OSError: Initializing from file failed,,https://github.com/pandas-dev/pandas/issues/26074
to_excel cannot handle large sheet,,https://github.com/pandas-dev/pandas/issues/26051
Series: inconsistent behavior of setting value with timestamp dtype for existed index and newly-added,,https://github.com/pandas-dev/pandas/issues/26031
Assorted Typing Fixups in pandas.core.reshape,,https://github.com/pandas-dev/pandas/issues/25934
Assorted Typing Fixups in pandas.io,,https://github.com/pandas-dev/pandas/issues/25933
Remove pandas.io.stata from Typing Blacklist,,https://github.com/pandas-dev/pandas/issues/25932
Add Test to Explicitly Check Private Modules Exposed via API,,https://github.com/pandas-dev/pandas/issues/25930
Fix Type Annotations in pandas.core.generic,,https://github.com/pandas-dev/pandas/issues/25901
Fix Type Annotations in pandas/_config/config.py,,https://github.com/pandas-dev/pandas/issues/25899
"Styler.applymap(subset=...) breaks promise that ""any valid indexer to .loc will work."" for mult-index",,https://github.com/pandas-dev/pandas/issues/25858
Use Substitution Decorator for CustomBusinessMonthEnd,,https://github.com/pandas-dev/pandas/issues/25828
wrong aggregated results when pivot_table index is ordered categorical data ,,https://github.com/pandas-dev/pandas/issues/25815
Update Typing Comments to Python3 Syntax,,https://github.com/pandas-dev/pandas/issues/25790
Incorrect example in wide_to_long docstring,,https://github.com/pandas-dev/pandas/issues/25733
Add the possibility of callable to ValueError message raised by corr,,https://github.com/pandas-dev/pandas/issues/25727
Excel Document Passing Kwargs to Engine,,https://github.com/pandas-dev/pandas/issues/25723
Fix flaky stata test,,https://github.com/pandas-dev/pandas/issues/25707
Remove makePanel Calls in Docs,,https://github.com/pandas-dev/pandas/issues/25609
BUG: User-facing AssertionError with DataFrame.to_html(classes=<invalid type>),,https://github.com/pandas-dev/pandas/issues/25608
CI: Use the latest pep8speaks and remove custom configuration,,https://github.com/pandas-dev/pandas/issues/25605
Snap drops name from datetimeindex,,https://github.com/pandas-dev/pandas/issues/25575
DOC: Force Removal of pandas From Dependencies,,https://github.com/pandas-dev/pandas/issues/25487
BUG: User-facing AssertionError with add column to SparseDataFrame,,https://github.com/pandas-dev/pandas/issues/25484
Fix validation error type `PR02` and check in CI,,https://github.com/pandas-dev/pandas/issues/25376
Fix validation error type `RT01` and check in CI,,https://github.com/pandas-dev/pandas/issues/25356
Fix validation error type `SA04` and check in CI,,https://github.com/pandas-dev/pandas/issues/25337
Fix validation error type `GL01` and check in CI ,,https://github.com/pandas-dev/pandas/issues/25324
Fix validation error type `SS03` and check in CI,,https://github.com/pandas-dev/pandas/issues/25306
Document Using Regex for str.split,,https://github.com/pandas-dev/pandas/issues/25296
Excel Module Cleanups,,https://github.com/pandas-dev/pandas/issues/25271
BUG: pandas Timestamp tz_localize and tz_convert do not preserve `freq` attribute,,https://github.com/pandas-dev/pandas/issues/25241
Fix validation error type `PR08` and check in CI,,https://github.com/pandas-dev/pandas/issues/25232
Error when read_json created by to_json with orient='table and index=False,,https://github.com/pandas-dev/pandas/issues/25170
Groupby creates emptu groups depending on base parameter ,,https://github.com/pandas-dev/pandas/issues/25161
assert_*_equal issues,,https://github.com/pandas-dev/pandas/issues/25135
Fix validation error type `SS02` and check in CI,,https://github.com/pandas-dev/pandas/issues/25113
Fix validation error type `SS05` and check in CI,,https://github.com/pandas-dev/pandas/issues/25112
Fix validation error type `RT05` and check in CI,,https://github.com/pandas-dev/pandas/issues/25108
Fix validation error type `RT04` and check in CI,,https://github.com/pandas-dev/pandas/issues/25107
Fix validation error type `GL04` and check in CI,,https://github.com/pandas-dev/pandas/issues/25106
Fix validation error type `PR04` and check in CI,,https://github.com/pandas-dev/pandas/issues/25105
Formatting Exception in io/formats/terminal.py,,https://github.com/pandas-dev/pandas/issues/25080
Error in documentation,,https://github.com/pandas-dev/pandas/issues/24981
DOC: also redirect old whatsnew url,,https://github.com/pandas-dev/pandas/pull/24906
TST: test_constructors.py::TestSeriesConstructors::test_constructor_dtype_datetime64,,https://github.com/pandas-dev/pandas/issues/24827
SparseDataFrame.to_coo does not convert the default fill value when is not 0,,https://github.com/pandas-dev/pandas/issues/24817
Question regarding Series.argsort documentation,,https://github.com/pandas-dev/pandas/issues/24816
Enhancingperf documentation updates,,https://github.com/pandas-dev/pandas/issues/24807
Timestamp.strftime() has erratic behavior after use of tz_convert(),,https://github.com/pandas-dev/pandas/issues/24788
CategoricalAccessor.categorical removed in 0.24.0rc1,,https://github.com/pandas-dev/pandas/issues/24751
Pytest Deprecation in test_pytables,,https://github.com/pandas-dev/pandas/issues/24706
CI: flaky hypothesis ,,https://github.com/pandas-dev/pandas/issues/24700
test_dti_tz_localize_roundtrip fails locally,,https://github.com/pandas-dev/pandas/issues/24689
DOC: `applymap` calling on first column twice,,https://github.com/pandas-dev/pandas/issues/24612
TST: clean up deprecation warning,,https://github.com/pandas-dev/pandas/issues/24610
Examples for Series ops should be specific to each method.,,https://github.com/pandas-dev/pandas/issues/24589
docstring templates not being filled,,https://github.com/pandas-dev/pandas/issues/24535
DOC: code_checks patterns does not ignore .c files,,https://github.com/pandas-dev/pandas/issues/24526
DOC: warnings from doc-strings for deprecated functions,,https://github.com/pandas-dev/pandas/issues/24525
DEPR: deprecate pandas/io/date_converters.py,,https://github.com/pandas-dev/pandas/issues/24518
"Wrong ""Too many indexers"" when value in series with MultiIndex is None",,https://github.com/pandas-dev/pandas/issues/24474
TST: Split test_excel into sub test files,,https://github.com/pandas-dev/pandas/issues/24472
DOC: FutureWarnings when building io.rst,,https://github.com/pandas-dev/pandas/issues/24439
DOC: Add dateutil to intersphinx,,https://github.com/pandas-dev/pandas/issues/24437
Series of integers mod behavior,,https://github.com/pandas-dev/pandas/issues/24396
ENH: add asv's which include EAs where appropriate,,https://github.com/pandas-dev/pandas/issues/24351
DOC: Fix docstrings with the sections in the wrong order,,https://github.com/pandas-dev/pandas/issues/24280
DOC: Series.nlargest sorts index with duplicates,,https://github.com/pandas-dev/pandas/issues/24268
"DOC: Fix flake8 issues in doc/source/whatsnew/v0.9.*.rst, v0.8.*.rst & v0.7.*.rst, ",,https://github.com/pandas-dev/pandas/issues/24260
DOC: Fix flake8 issues in doc/source/whatsnew/v0.10.*.rst,,https://github.com/pandas-dev/pandas/issues/24259
DOC: Fix flake8 issues in doc/source/whatsnew/v0.11.0.rst,,https://github.com/pandas-dev/pandas/issues/24258
DOC: Fix flake8 issues in doc/source/whatsnew/v0.12.*.rst,,https://github.com/pandas-dev/pandas/issues/24257
DOC: Fix flake8 issues in doc/source/whatsnew/v0.13.*.rst,,https://github.com/pandas-dev/pandas/issues/24256
DOC: Fix flake8 issues in doc/source/whatsnew/v0.14.*.rst,,https://github.com/pandas-dev/pandas/issues/24240
 DOC: Fix flake8 issues in doc/source/whatsnew/v0.15.*.rst,,https://github.com/pandas-dev/pandas/issues/24239
DOC: Fix flake8 issues in doc/source/whatsnew/v0.16.*.rst ,,https://github.com/pandas-dev/pandas/issues/24237
DOC: Fix flake8 issues in doc/source/whatsnew/v0.17.*.rst ,,https://github.com/pandas-dev/pandas/issues/24235
DOC: Fix flake8 issues in doc/source/whatsnew/v0.18.*.rst,,https://github.com/pandas-dev/pandas/issues/24233
DOC: Fix flake8 issues in doc/source/whatsnew/v0.21.0.rst,,https://github.com/pandas-dev/pandas/issues/24222
DOC: Fix flake8 issues in doc/source/whatsnew/v0.20.0.rst ,,https://github.com/pandas-dev/pandas/issues/24220
DOC: Fix flake8 issues in doc/source/whatsnew/v0.19.0.rst ,,https://github.com/pandas-dev/pandas/issues/24219
DOC: scripts/validate_docstrings.py should clean up files created from docstrings,,https://github.com/pandas-dev/pandas/issues/24209
DOC: Fix flake8 issues in doc/source/whatsnew/v0.22.0.rst,,https://github.com/pandas-dev/pandas/issues/24202
DOC: Fix flake8 issues in doc/source/whatsnew/v0.23.0.rst,,https://github.com/pandas-dev/pandas/issues/24201
DOC: Fix flake8 issues in doc/source/whatsnew/v0.24.0.rst ,,https://github.com/pandas-dev/pandas/issues/24200
DOC: Fix flake8 issues in doc/source/visualization.rst,,https://github.com/pandas-dev/pandas/issues/24181
DOC: Fix flake8 issues in doc/source/reshaping.rst,,https://github.com/pandas-dev/pandas/issues/24180
DOC: Fix flake8 issues in doc/source/merging.rst ,,https://github.com/pandas-dev/pandas/issues/24179
DOC: Fix flake8 issues in doc/source/groupby.rst,,https://github.com/pandas-dev/pandas/issues/24178
DOC: Fix flake8 issues in doc/source/enhancingperf.rst,,https://github.com/pandas-dev/pandas/issues/24176
DOC: Fix flake8 issues in doc/source/dsintro.rst,,https://github.com/pandas-dev/pandas/issues/24175
DOC: Fix flake8 issues in doc/source/10min.rst,,https://github.com/pandas-dev/pandas/issues/24174
DOC: update usage of randn in io.rst,,https://github.com/pandas-dev/pandas/issues/24148
DOC: Deprecation directive in docstrings should be placed before the extended summary,,https://github.com/pandas-dev/pandas/issues/24143
DOC: Fix quotes position in pandas.core,,https://github.com/pandas-dev/pandas/issues/24071
DOC: Fix quotes position in Timestamp and Timedelta,,https://github.com/pandas-dev/pandas/issues/24070
DOC: Make _field_accessor manage the docstring format,,https://github.com/pandas-dev/pandas/issues/24068
"Explicitly include ""private"" ExtensionArray methods in API docs",,https://github.com/pandas-dev/pandas/issues/24067
DOC: Fix quotes position in Series docstrings,,https://github.com/pandas-dev/pandas/issues/24059
DOC: Fix order of sections in Series docstrings,,https://github.com/pandas-dev/pandas/issues/24058
Add columns-parameter like in feather.read_dataframe,,https://github.com/pandas-dev/pandas/issues/24025
step option does not work for hist,,https://github.com/pandas-dev/pandas/issues/23992
BUG: maybe_infer_to_datetimelike incorrect on 2D inputs,,https://github.com/pandas-dev/pandas/issues/23988
DatetimeIndex doesn't validate `dtype` argument,,https://github.com/pandas-dev/pandas/issues/23986
BUG: pandas.cut should disallow overlapping IntervalIndex bins,,https://github.com/pandas-dev/pandas/issues/23980
BUG/TST: PeriodArray.__setitem__ with slice and list-like value fails,,https://github.com/pandas-dev/pandas/issues/23978
Wrong argument documentation for reindex_axis,,https://github.com/pandas-dev/pandas/issues/23960
DOC: Use a standard header for all rst files,,https://github.com/pandas-dev/pandas/issues/23952
show_versions fails on master with latest lxml,,https://github.com/pandas-dev/pandas/issues/23934
TST: Run tests using a database explicitly,,https://github.com/pandas-dev/pandas/issues/23928
TST: Disallow bare pytest.raises,,https://github.com/pandas-dev/pandas/issues/23922
ExtensionArray.shift incorrect for periods larger than length of array,,https://github.com/pandas-dev/pandas/issues/23911
DOC: Capitalize docstring summaries,,https://github.com/pandas-dev/pandas/issues/23881
DOC: Use only one blank line to separate sections or paragraphs,,https://github.com/pandas-dev/pandas/issues/23870
Shouldn't the try: __import__ in __init__ re-raise original exception?,,https://github.com/pandas-dev/pandas/issues/23868
DataFrame rename fails with TypeError when give a ChainMap instead of a dict,,https://github.com/pandas-dev/pandas/issues/23859
CLN: Fixes to conda environment names,,https://github.com/pandas-dev/pandas/issues/23851
pd to_datetime with format specified returns doesn't match format specified instead of OutOfBoundsDatetime,,https://github.com/pandas-dev/pandas/issues/23830
DOC: Move content in doc/README.rst to doc/source/contributing.rst,,https://github.com/pandas-dev/pandas/issues/23828
CI: Move CircleCI job to Azure pipelines,,https://github.com/pandas-dev/pandas/issues/23821
equality comparison with a scalar is slow for category (performance regression),,https://github.com/pandas-dev/pandas/issues/23814
DOC: Fix format of cookbook.rst,,https://github.com/pandas-dev/pandas/issues/23794
DOC: Fix format of categorical.rst,,https://github.com/pandas-dev/pandas/issues/23793
DOC: Fix format of basics.rst,,https://github.com/pandas-dev/pandas/issues/23792
DOC: Fix format of io.rst,,https://github.com/pandas-dev/pandas/issues/23791
