Issue Description,Assignees to the Issue,Link
CloudFront/ACM: throw if certificate is not in us-east-1,,https://github.com/aws/aws-cdk/issues/3464
CustomResource applies presumptuous property uppercasing,,https://github.com/aws/aws-cdk/issues/3421
TypeScript ECR Documentation Update,,https://github.com/aws/aws-cdk/issues/3273
ApiGateway LambdaRestApi doesn't allow overriding default integration properties,,https://github.com/aws/aws-cdk/issues/3269
API Gateway: Custom API key value and API key export,,https://github.com/aws/aws-cdk/issues/3233
feature: cdk deploy --all,,https://github.com/aws/aws-cdk/issues/3222
CodeBuild: Missing EncyptionDisabled Artifact property,,https://github.com/aws/aws-cdk/issues/3211
region-info Fact.find() should throw exception if fact not found,,https://github.com/aws/aws-cdk/issues/3194
"AutoAssignIP is always set to true, even for ECS EC2 task",,https://github.com/aws/aws-cdk/issues/2996
turn off colors?,,https://github.com/aws/aws-cdk/issues/2993
"""cdk docs"" platform-specific browser command",,https://github.com/aws/aws-cdk/issues/2847
init templates: add cdk.out/ and .env/ (python only) to .gitignore,,https://github.com/aws/aws-cdk/issues/2842
Support windows containers,,https://github.com/aws/aws-cdk/issues/2574
Indicate that @attribute properties returns tokens in docstrings (awslint),,https://github.com/aws/aws-cdk/issues/2420
init csharp: add-project.hook.d.ts is copied into target folder,,https://github.com/aws/aws-cdk/issues/2314
support aws/codebuild/golang:1.11 build image,,https://github.com/aws/aws-cdk/issues/2079
"core: add ""getContext"" which throws if context doesn't exist",,https://github.com/aws/aws-cdk/issues/1771
Bug: PipelineProject badge error,,https://github.com/aws/aws-cdk/issues/1749
[sns] support encrypted topics,,https://github.com/aws/aws-cdk/issues/1729
RDS: Support enabling IAM DATABASE Authentication,,https://github.com/aws/aws-cdk/issues/1558
Support secret for ecs fargate task definition,,https://github.com/aws/aws-cdk/issues/1478
lambda reservedConcurrentExecutions?,,https://github.com/aws/aws-cdk/issues/1463
cdk.Include: support passing in parameters to included template,,https://github.com/aws/aws-cdk/issues/1454
CloudFormation CodePipeline Actions should accept `IRole` instead of `Role`,,https://github.com/aws/aws-cdk/issues/1361
Tools assume `lerna` is installed globally,,https://github.com/aws/aws-cdk/issues/1338
"Toolkit: make JSON the default output (and use it for ""deploy"")",,https://github.com/aws/aws-cdk/issues/1323
Add bucket name check,,https://github.com/aws/aws-cdk/issues/1308
AWS::ECS::Service needs DependsOn AWS::ElasticLoadBalancingV2::ListenerRule,,https://github.com/aws/aws-cdk/issues/1160
codebuild: ProjectProps timeout does not resolve to TimeoutInMinutes,,https://github.com/aws/aws-cdk/issues/1028
core: Disable export-by-default,,https://github.com/aws/aws-cdk/issues/903
ELBv2: expose metrics objects,,https://github.com/aws/aws-cdk/issues/853
Applets: make it possible to rename stack,,https://github.com/aws/aws-cdk/issues/851
"RegEx is too restrictive.Exception will be thrown if you try to set pathPart to '{proxy+}', which is valid! ",,https://github.com/aws/aws-cdk/issues/768
CloudFormation servicerole,,https://github.com/aws/aws-cdk/issues/735
Logging property not present on creating a Cloudfront distribution using construct,,https://github.com/aws/aws-cdk/issues/721
Allow importing/exporting iam.Role,,https://github.com/aws/aws-cdk/issues/673
Lambda doesn't need to be able to access the code bucket from it's execution role,,https://github.com/aws/aws-cdk/issues/664
Toolkit: stack update failure should show StackStatusReason,,https://github.com/aws/aws-cdk/issues/604
Cannot Create IAM:ServiceLinkedRole,,https://github.com/aws/aws-cdk/issues/569
iam: abstract base class for Role/Group/User and also implement import/export,,https://github.com/aws/aws-cdk/issues/464
Warn/fail synthesis when reached the 200 resource limit,,https://github.com/aws/aws-cdk/issues/276
[iam] Support sts:ExternalId,,https://github.com/aws/aws-cdk/issues/235
Adding an `Output` to a stack does not count as a change so the stack is not deployed,,https://github.com/aws/aws-cdk/issues/186
