Issue Description,Assignees to the Issue,Link
git Provider Incorrectly Selects Less Specific Tag,,https://github.com/chef/chef/issues/2065
chefignore requires double definition,,https://github.com/chef/chef/issues/2060
[testing] Evaluate Waffle.io,,https://github.com/chef/chef/issues/2055
remote_file's source attribute does not support DelayedEvaluators,,https://github.com/chef/chef/issues/2047
CHEF-1940:Patch for https://github.com/opscode/chef/issues/1940,,https://github.com/chef/chef/pull/1961
"""ERROR: can't dup NilClass"" when bootstrap --server-url is not a URI",,https://github.com/chef/chef/issues/1909
chef-apply with no arguments gives a confusing error message,,https://github.com/chef/chef/issues/1882
'options' attribute is not passed to package or yum_package resource,,https://github.com/chef/chef/issues/1874
Enable client-side key generation by default (fixes #1711),,https://github.com/chef/chef/pull/1825
Remove recipe DSL from base provider.,,https://github.com/chef/chef/pull/1820
knife cookbook site install fails on Windows in directories with spaces,,https://github.com/chef/chef/issues/1753
Chef client 'execute cmd'  cannot be set to sensitive output,,https://github.com/chef/chef/issues/1744
Guard interpreter default for powershell_script set to powershell_script,,https://github.com/chef/chef/issues/1714
Guard interpreter default for batch set to :batch,,https://github.com/chef/chef/issues/1713
Enable client-side key generation by default,,https://github.com/chef/chef/issues/1711
Possible enhancement: catch #exec,,https://github.com/chef/chef/issues/1689
"--force option is invalid, but knife client delete tells you to use it",,https://github.com/chef/chef/issues/1652
cookbook upload fails if there is a brace in the cookbook path,,https://github.com/chef/chef/issues/1625
git resource Errno::EIO on windows,,https://github.com/chef/chef/issues/1622
easy_install_package fails on Windows due to use of output_of_command,,https://github.com/chef/chef/issues/1610
Chef can't remove apt packages if they don't exist in a repo,,https://github.com/chef/chef/issues/1600
OSX User provider blows up if group is removed before user,,https://github.com/chef/chef/issues/1586
Node::Attribute inspect vs to_s problem,,https://github.com/chef/chef/issues/1562
CHEF-2707 subversion resource doesn't work on windows,,https://github.com/chef/chef/issues/1533
Debian service resource is not idempotent when priority is specified,,https://github.com/chef/chef/issues/1517
Remove recipe DSL from base provider,,https://github.com/chef/chef/issues/1446
[CHEF-3910] Allow config[:user_password] to be set via CLI,,https://github.com/chef/chef/pull/648
