Issue Description,Assignees to the Issue,Link
Seemingly contradictions in the srcset attribute guidelines for Images,,https://github.com/whatwg/html/issues/3250
"""has""",,https://github.com/whatwg/html/issues/3206
"""The miter length is the distance from the point...""",,https://github.com/whatwg/html/issues/3121
"""Otherwise      Cut the line on which start fi...""",,https://github.com/whatwg/html/issues/3118
Some media elements can indefinitely block the document's load event for no reason,,https://github.com/whatwg/html/issues/3065
"""interface OffscreenCanvas : EventTarget {""",,https://github.com/whatwg/html/issues/3017
Wrong typography on style element's style data,,https://github.com/whatwg/html/issues/2994
"Path2D interface has two'Exposed extended attributes, each with different values.",,https://github.com/whatwg/html/issues/2978
Link to <flag-icon> is broken.,,https://github.com/whatwg/html/issues/2977
"""8.9 Animation Frames""",,https://github.com/whatwg/html/issues/2914
Tweaks to the header,,https://github.com/whatwg/html/issues/2906
"""defined in the auxclick specification""",,https://github.com/whatwg/html/issues/2889
"Remove ""abort these steps"" wording",,https://github.com/whatwg/html/issues/2878
"Remove ""onhide"" from obsolete attributes",,https://github.com/whatwg/html/issues/2860
Small clarity improvements to canvas transform methods,,https://github.com/whatwg/html/issues/2848
Dev edition: Disappears DOM tree lines on examples of section 1,,https://github.com/whatwg/html/issues/2821
"DOM ""insertion steps""",,https://github.com/whatwg/html/issues/2771
UAs may have somewhat more liberal handling of the dir attribute than the spec does,,https://github.com/whatwg/html/issues/2769
Error in definition of forms' `elements` IDL attribute?,,https://github.com/whatwg/html/issues/2764
"""The length attribute's getter must this DOMStri...""",,https://github.com/whatwg/html/issues/2736
Should “Naming form controls” section include a warning about names overriding form properties?,,https://github.com/whatwg/html/issues/2720
"Missing [] at Promise.all(), trailing comma following last createImageBitmap call",,https://github.com/whatwg/html/issues/2675
noopener feature in window.open inconsistent with other boolean features,,https://github.com/whatwg/html/issues/2600
Move owner set manipulation during document discarding,,https://github.com/whatwg/html/issues/2533
"What does the definite article mean in the ""has focus steps""?",,https://github.com/whatwg/html/issues/2523
"Confusing link for ""Latin Prose""",,https://github.com/whatwg/html/issues/2500
contextmenu event uses Event interface on event index table,,https://github.com/whatwg/html/issues/2491
Can the IDL return type of HTMLTableRowElement.insertCell be more narrowed?,,https://github.com/whatwg/html/issues/2487
"Editorial: remove <span data-x=""""> elements enclosing <var>s",,https://github.com/whatwg/html/issues/2478
"Event handler FunctionCreate uses an undefined variable ""global environment""",,https://github.com/whatwg/html/issues/2467
innerText setter uses pointer + position instead of sticking with one variable name,,https://github.com/whatwg/html/issues/2446
""" intializedzed""",,https://github.com/whatwg/html/issues/2430
setRangeText one-argument form doesn't define what the selection mode should be,,https://github.com/whatwg/html/issues/2403
Add window.clientInformation,,https://github.com/whatwg/html/issues/2379
"Make spec state that <meta name> must not be use for any new features with UA processing requirements, and instead new attribute should be minted: <meta newfeature=value>",,https://github.com/whatwg/html/issues/2335
"Xref ""image data"" in definition of img's origin",,https://github.com/whatwg/html/issues/2325
"About the term ""top-level-browsing-context""",,https://github.com/whatwg/html/issues/2322
"Remove ""global script clean-up jobs list""",,https://github.com/whatwg/html/issues/2309
Clarify origin check in document.open(),,https://github.com/whatwg/html/issues/2282
"""A 002E FULL STOP character (.)""",,https://github.com/whatwg/html/issues/2274
"Reword usage of ""alphabetical""",,https://github.com/whatwg/html/issues/2266
