Issue Description,Assignees to the Issue,Link
getEventInFunction unexpected implementation,,https://github.com/serverless/serverless/issues/2607
Allow invoking functions from the same service by default,,https://github.com/serverless/serverless/issues/2548
Support Input and inputPath options in AWS::Events::Rule for schedule events,,https://github.com/serverless/serverless/issues/2543
Document AWS API Keys/Usage Plans inconsistent behavior,,https://github.com/serverless/serverless/issues/2539
File variable fallback option fails,,https://github.com/serverless/serverless/issues/2490
Wrong error message when deploying single function,,https://github.com/serverless/serverless/issues/2485
sls create does not check for existing project before overwriting serverless.yml 1.0.2,,https://github.com/serverless/serverless/issues/2388
Docs for serverless.yml,,https://github.com/serverless/serverless/issues/2314
Update Utils tests to use utils class instead of instance in serverless object,,https://github.com/serverless/serverless/issues/2280
Allow to provide a default value for plugin options,,https://github.com/serverless/serverless/issues/2242
Better displaying for command help,,https://github.com/serverless/serverless/issues/2241
Make it easier to remove services from CF that you don't have files for locally,,https://github.com/serverless/serverless/issues/2202
SNS event compiler tries to use an existing ARN as a topic name,,https://github.com/serverless/serverless/issues/2183
serverless.yml configuration object model differs for equivalent configuration options,,https://github.com/serverless/serverless/issues/2178
`remove` CLI command not found,,https://github.com/serverless/serverless/issues/2163
Region handling should respect other config parameters and not set a default region,,https://github.com/serverless/serverless/issues/2151
DX: Print message that an update is available if user runs Serverless command with an outdated version,,https://github.com/serverless/serverless/issues/2118
DX: Consistent error messages when running commands without serverless.yml,,https://github.com/serverless/serverless/issues/2116
Some tests return a reject but won't break the overall tests,,https://github.com/serverless/serverless/issues/2115
Node modules can't be loaded from the AWS Lambda zip code deployed,,https://github.com/serverless/serverless/issues/2086
Do not load plulgins that do not match provider?,,https://github.com/serverless/serverless/issues/2084
Create a new template which creates a AWS Node TypeScript project,,https://github.com/serverless/serverless/issues/1997
Package artefacts are not renamed which means the CF template doesn't change and no deployment happens,,https://github.com/serverless/serverless/issues/1892
Support for filterRules in S3 events for v1 ?,,https://github.com/serverless/serverless/issues/1873
Refactor for the CLI function arns outputs,,https://github.com/serverless/serverless/issues/1825
Feature Request: Per Function Custom IAM roles,,https://github.com/serverless/serverless/issues/1807
Move package to per-function,,https://github.com/serverless/serverless/issues/1777
"HTTP Events, cannot add methods for root `/`endpoint",,https://github.com/serverless/serverless/issues/1738
Let single function deployment extend package plugin,,https://github.com/serverless/serverless/issues/1719
Add support for external templates,,https://github.com/serverless/serverless/issues/1717
Options passed via shortcuts don't seem to be available during variable population,,https://github.com/serverless/serverless/issues/1709
Document how to use SLS_DEBUG env var,,https://github.com/serverless/serverless/issues/1690
Add Serverless optimize plugin,,https://github.com/serverless/serverless/issues/1653
Allow users to set their own deployment bucket without creating one in the CF stack,,https://github.com/serverless/serverless/issues/1513
Add random test order / automatic tests detection,,https://github.com/serverless/serverless/issues/1337
Benchmark codebase to analyze slow parts,,https://github.com/serverless/serverless/issues/1080
Production AWS permissions,,https://github.com/serverless/serverless/issues/588
Shell completions,,https://github.com/serverless/serverless/issues/187
